
{SMT_CULTURE_ROMAN}				Roman
{SMT_PLAGUE_IN_ALEXANDRIA_BODY}				The Curse of Set strikes Alexandria, and the dead are numberless. The Egyptians are returning to the worship of the Old Gods in the hope that Isis will protect them from the pestilence - something that the Greek Gods imported by the Ptolemaic dynasty have obviously failed to do!
{SMT_RITES_OF_BACCHUS_BANNED_BODY}				The Senate of Rome has decided that the drunken orgies of the Baccanalia have finally gone too far. The depravity and lewdness have shocked the patricians into action. Performing the Rites of Bacchus from now on will result in exile and loss of Roman citizenship.
{SMT_EARTHQUAKE_IN_PONTUS_BODY}				Pontus has been shaken by massive earthquakes - surely a sign of Poseidon's disfavour - and many have perished.
{SMT_CONCRETE_INVENTED_BODY}					The Porticus Aemilia, a market near the Tiber, is the first building made from concrete. This 'liquid stone' is a mixture of rubble, mortar, volcanic ash and water poured into wooden moulds. Some in the Senate maintain this new material is not as safe as marble and are taking steps to have its use banned. The Roman recipe for concrete is, in some respects, actually better than that in common use over 2000 years later.
{SMT_ERUPTION_AT_VESUVIUS_BODY}				The town of Herculaneum has vanished beneath the ash of Vesuvius, while a massive tidal wave in the bay has caused extensive damage to Messina. This is certainly a sign of anger from both Neptune and Vulcan.
{SMT_PHILOSOPHY_IS_FOPPISH_BODY}				Rome expels Greek philosophers after the Lex Fannia law is passed. This bans the effete and nasty Greek practice of 'philosophy' in favour of more manly, properly Roman pursuits that don't involve quite so much thinking.
{SMT_ASTRONOMY_ADVANCES_BODY}				Hipparchus of Nicae has calculated the length of a solar year, charted 1080 stars and discovered the precession of the equinoxes. Some of this is thanks to his marvellous invention, the astrolabe, which also has uses in navigation.
{SMT_LEX_AEBUTIA_BODY}						This code formally organises the common practice of law into a coherent system. Until now, Roman law has been a rather ad hoc affair.
{SMT_ROMAN_STOICISM_BODY}					A visit to Rome by the leading Greek Stoic Panaetius impresses the Roman elite. His ideas are taken up, mostly because Stoicism is seen as being in tune with the natural and correct Roman way of life.
{SMT_LEX_PAPIRA_BODY}						In an effort to prevent corruption and malpractice, this new law requires legislation to be voted into force by secret ballot to prevent vote rigging scandals.
{SMT_PLAGUE_IN_ITALY_BODY}					All across Italy many thousands have fallen victim to another pestilence brought by the foul barbarians. The Roman Senate has decreed that all cities will be closed for 40 days, fires will be kept burning to purify the air and a proper schedule of sacrifices will be carried out in the temples.
{SMT_VESTAL_VIRGIN_STRUCK_DOWN_BODY}				In Rome superstition rules the hearts and minds of the common people, the plebs, following a thunderbolt that killed the young daughter of an equestrian. A judicial review has already determined that three of the Vestals were unchaste and they have been condemned to death. The Cybelline Oracles have also advised that, to appease the Gods, Greek and Gallic couples should be buried alive. So far, this seems to have worked.
{SMT_A_NEW_MAN__GAIUS_MARIUS_BODY}				Gaius Marius has proposed a series of laws that allow the proletariat to join his reorganised Roman army. In return for many years of military service every soldier will be given land as a kind of pension. This reform is passed in the people's assembly without the approval of the Senate. It's a certainty that such popular - and populist - appeal will do Marius no favours in the long run!\n\nThe troop types available for recruitment now reflect the structure of this new professional army. Check the recruitment scroll to view the details.
{SMT_DE_RERUM_NATURA_BODY}					Until now Titus Lucretius Carus has been best known as a poet and philosopher, but in the book De Rerum Natura or 'On the Nature of the Universe' he shows himself to be a master of Epicurean thought. He also claims that matter is composed of miniscule particles called 'atoms'.
{SMT_PLAGUE_IN_ASIA_MINOR_BODY}				Plague has swept through the towns and cities of Asia Minor, leaving many dead. Already the prudent citizens of Greek, Italian and Egyptian cities have closed their gates and ports to anyone from the region.
{SMT_LEX_POMPEIA_BODY}						This new law grants rights to certain foreigners, allowing them to marry and trade with Roman citizens. It even allows them the chance to obtain Roman citizenship!
{SMT_DE_MATERIA_MEDICA_BODY}					Pedanius Dioscorides of Cilicia has published his great work cataloguing all the plants he knows with healing properties. He has also listed all the poisonous ones, along with antidotes, making the book the major medical work to date.
{SMT_JULIAN_CALENDAR_BODY}					After much careful thought a new calendar has been approved for use in Roman lands. The old calendar had become hopelessly out of step with the seasons. This new calendar resets the year to what it should be, and then cleverly keeps harmony in the lunar and solar years by adding an extra day to the calendar every four years.
{SMT_EARTHQUAKE_IN_IBERIA_BODY}				The Iberian city of Saguntum has been struck by a great earthquake, undoubtedly visited upon the people by Neptune. Many have been killed and the temple has collapsed.
{SMT_THE_AENEID_BODY}						Virgil has completed his epic retelling of Roman history in the style of Homer. It is a work of genius, and much appreciated by the Romans for its poetic accuracy.
{SMT_LEX_ADULTERIIS_COERCENDIS_BODY}				The Roman Senate have passed a new law making marital unfaithfulness a public crime. To commit adultery now carries the sentence of death or, in some cases, banishment from Rome for the lovers.
{SMT_TROUBLE_IN_JUDEA_BODY}					The client ruler of Judea appears to have gone slightly mad. He has ordered the slaughter of all new-born infants within his lands. His disturbing order was promulagated after a visit by three Zoroastrian philosophers that caused him many sleepless nights.
{SMT_LEX_FUFIA_CANINIA_BODY}					The Roman Senate have passed a law to deal with the problem of slaves being freed in the wills of their now-dead masters. Mass manumission is no longer allowed, and only a fraction of someone's slaves can be declared free in his will.
{SMT_THE_SENATE}						The Senate
{SMT_SENATE_POLICY}						Senate Policy
{SMT_SENATE_FLOOR}						Senate Floor
{SMT_SENATE_NO_MISSIONS}					There are currently no senate missions
{SMT_SENATE_THE_SENATE}					The Senate
{SMT_SENATE_THE_PEOPLE}					The People
{SMT_SENATE_STANDING}						Current Standing
{SMT_SENATE_POLICY_AT_WAR_STANCE_AT_WAR}			The Senate is pleased to note that their policy and yours are in perfect accord regarding these people. They are enemies of Rome, and should be crushed beneath the iron-shod boots of the legions.
{SMT_SENATE_POLICY_HARASS_STANCE_AT_WAR}			After due and careful deliberation, the Senate has decided that these people deserve to be treated with a degree of hostility. While not going as far as declaring war, the Senate certainly sees no need to treat these people with anything that could be construed as justice or fairness.
{SMT_SENATE_POLICY_NEUTRAL_STANCE_AT_WAR}			The Senate, after due deliberation, has determined that your warlike attitude to these people is, on balance, counter to the interests of the Republic. Formal peace rather than warm friendship is considered to be an ideal state of affairs between good Romans and these folk.
{SMT_SENATE_POLICY_FRIENDLY_STANCE_AT_WAR}			The Senate declares that your war against these people is not in Rome's interests. An immediate end to war and a rapprochement is desirable.
{SMT_SENATE_POLICY_ASSIST_STANCE_AT_WAR}			War, what is it good for? Absolutely nothing, the Senate has decided. The Senators are displeased, and declare that your war against these people is directly counter to Rome's best interests. An immediate rapprochement is required.
{SMT_SENATE_POLICY_AT_WAR_STANCE_NEUTRAL}			The Senate and People of Rome are united in their belief that this faction is a pernicious enemy of Rome. Their continued existence is an affront to Roman dignity, and war is the only desirable course of action.
{SMT_SENATE_POLICY_HARASS_STANCE_NEUTRAL}			The Senate has, after due deliberation, decided that these people are not to be considered friends of Rome. Their claims to territory, freedom, and independence should be disputed at every conceivable opportunity.
{SMT_SENATE_POLICY_NEUTRAL_STANCE_NEUTRAL}			After deliberation, the Senate has determined that it really doesn't care very much one way or another about the fate of these people. Your current neutrality seems vaguely appropriate in the circumstances, but no Senators are particularly bothered at this time.
{SMT_SENATE_POLICY_FRIENDLY_STANCE_NEUTRAL}			The Senators note with approval that war with these people is currently far from your thoughts. However, they wish to impress upon you that, in the interests of the Senate and People of Rome, friendly diplomatic relations should be established.
{SMT_SENATE_POLICY_ASSIST_STANCE_NEUTRAL}			The Senate and People of Rome consider that better relations with these people would in be in the Republic's best interests. While your stance towards them is mainly admirable, there is no relationship that cannot be improved.
{SMT_SENATE_POLICY_AT_WAR_STANCE_ALLIED}			The Senate is firmly convinced that these people are enemies of Rome. Any policy towards these people should involve the sword, not the olive branch. To treat with them is to invite disaster to the Republic and the disapproval of the Senate in equal measure. Peace is not a suitable method of dealing with these people.
{SMT_SENATE_POLICY_HARASS_STANCE_ALLIED}			The Senate and People of Rome are determined that these people should be treated with contempt, not as equals. Their spurious claims of territorial integrity, independence and to life and liberty apart from Rome should be vigorously denied and opposed. 'Demands' not 'diplomacy' should be the watchword.
{SMT_SENATE_POLICY_NEUTRAL_STANCE_ALLIED}			The Senate has decided that a close diplomatic relationship with these people is not necessarily in Rome's interests when considered in the light of the Republic's many obligations. Alliances are all very well, but not always appropriate.
{SMT_SENATE_POLICY_FRIENDLY_STANCE_ALLIED}			The Senate takes note of your friendly relations with these people and wishes you to continue this policy, sure in the knowledge that the best interests of Rome are being served by your existing peaceful overtures.
{SMT_SENATE_POLICY_ASSIST_STANCE_ALLIED}			The Senate and People of Rome are pleased to note that your alliance and their policies fulfil the same goals. These people are friends and worthy of every assistance.
{SMT_SENATE_STANDING_RANKING_0}				No one in the Senate likes you. If you were charged with anything criminal or treasonous, everyone would believe it. Worse, they'd believe you'd actually done something far nastier but had managed to keep it hidden.
{SMT_SENATE_STANDING_RANKING_1}				Members of the Senate refuse to recognise you in the street. Senators' wives pretend that you do not exist. Senators' slaves cross the road to avoid being near you. You are unpopular and unloved.
{SMT_SENATE_STANDING_RANKING_2}				Many Senators openly praise your ancestors, and often express a wish that you would join them, and soon.
{SMT_SENATE_STANDING_RANKING_3}				Your popularity is such that Senators are uncomfortable about being seen in public with you. They are happy enough, though, to enjoy your wine and company in private.
{SMT_SENATE_STANDING_RANKING_4}				When the Senate considers you at all, it maintains a strictly objective view of your achievements. Your popularity, or lack of the same, does not sway the noble Senators one way or another.
{SMT_SENATE_STANDING_RANKING_5}				A small majority within the Senate recognise your greatness, but most of the rest feel indifferent towards you. Fortunately, you now rarely provoke outright hostility from the Senators.
{SMT_SENATE_STANDING_RANKING_6}				The majority of the Senate has a good opinion of your deeds, but some Senators do wonder aloud whether or not your actions are motivated by a quest for personal glory rather than the greatness of Rome.
{SMT_SENATE_STANDING_RANKING_7}				The few insecure and, quite frankly, sadly deranged Senators who feel threatened by others' popularity now rate you as one of their chief problems. They envy your charm and achievements.
{SMT_SENATE_STANDING_RANKING_8}				The Senate holds you in the highest regard. There is some debate as to whether you should be declared Father of the Republic, or just given the keys to the Vestal Virgins' quarters!
{SMT_SENATE_STANDING_RANKING_9}				The Senate considers you to be Romulus reborn, a veritable saviour of the Republic and the chief defender of Rome. Your name is a byword for virtue, dignity and the Roman way.
{SMT_SENATE_POPULAR_SUPPORT_0}				You are so unpopular that the plebeians cannot even be bothered to hurl ordure and insults at you as you walk by. A rotting fish head commands more popular respect and love.
{SMT_SENATE_POPULAR_SUPPORT_1}				The plebeians hate you. More than that, the plebeians hate all your friends. And their friends. And their pets, slaves and hangers-on. That's how unpopular you are.
{SMT_SENATE_POPULAR_SUPPORT_2}				Your popularity with the lower orders is a little underwhelming. When a plebeian shouts a greeting in your general direction, the second word is generally 'off'.
{SMT_SENATE_POPULAR_SUPPORT_3}				Your popularity among the plebs is not what it could be, but at least they do not throw stones or insults. Most of the time, they don't recognise you.
{SMT_SENATE_POPULAR_SUPPORT_4}				Your standing among the plebeians could be better, but then it could be worse too. You are famous enough to be recognised, but not famous enough to be loved.
{SMT_SENATE_POPULAR_SUPPORT_5}				Your standing amongst the plebs is on the good side of satisfactory. You are seen as being a good Roman, but not exactly a popular one.
{SMT_SENATE_POPULAR_SUPPORT_6}				Your popularity among the lower orders is solid. You are seen as a good man and, more importantly, as a good Roman.
{SMT_SENATE_POPULAR_SUPPORT_7}				The plebs think well of you: very well in fact. You are seen as a bulwark against the dictatorial power of the Senate and a champion of Rome.
{SMT_SENATE_POPULAR_SUPPORT_8}				You are hugely popular with the plebeian classes, and feted as a hero of Rome whenever you enter the city. You could float a trireme in the drinks that people offer to buy for you.
{SMT_SENATE_POPULAR_SUPPORT_9}				The plebeians think that you are Romulus reborn! Even your few enemies speak only in praise of your manifest perfection in public. They dare not anger the mob.
{SMT_TURNS_UNTIL_SURRENDER}					Under Siege. Turns until surrender:
{SMT_NO_ASSASSINATION_TARGETS}				No valid assassination targets
{SMT_NO_SABOTAGE_TARGETS}					No buildings to sabotage
{SMT_MISSION_TARGET}						Select Mission Target
{SMT_SIEGE_DURATION_WHILST_UNDER_SIEGE}			This settlement should be able to hold out for another %d turns
{SMT_SIEGE_DURATION_WHILST_NOT_UNDER_SIEGE}			In the event of a siege, this settlement can hold out for %d turns
{SMT_GARRISON_BREAKDOWN}					Garrison Breakdown
{SMT_NAVY_BREAKDOWN}						Navy Breakdown
{SMT_INFANTRY}							Infantry
{SMT_CAVALRY}							Cavalry
{SMT_ARTILLERY}							Artillery
{SMT_SHIPS}							Ships
{SMT_ARMY_FULL}						This army cannot support any more units
{SMT_NAVY_FULL}						This navy cannot support any more units
{SMT_NO_GARRISON_COMMANDER}					No garrison commander present
{SMT_SAILORS}							Sailors
{SMT_ENTERTAINMENT_TRANSACTIONS}				Entertainment
{SMT_CAPABILITY_POPULATION_GROWTH_BONUS}		Population growth modifier
{SMT_CAPABILITY_POPULATION_LOYALTY_BONUS}		Population loyalty modifier
{SMT_CAPABILITY_POPULATION_HEALTH_BONUS}		Population health modifier
{SMT_CAPABILITY_TRADE_BASE_INCOME_BONUS}		Trade income modifier
{SMT_CAPABILITY_TRADE_LEVEL_BONUS}			Trade level modifier
{SMT_CAPABILITY_TRADE_FLEET}				Trade fleet
{SMT_CAPABILITY_TAXABLE_INCOME_BONUS}		Taxable income modifier
{SMT_CAPABILITY_MINE_RESOURCE}			Mining
{SMT_CAPABILITY_FARMING_LEVEL}			Farming
{SMT_CAPABILITY_ROAD_LEVEL}				Roads
{SMT_CAPABILITY_GATE_STRENGTH}			Gate strength
{SMT_CAPABILITY_GATE_DEFENSES}			Gate defences
{SMT_CAPABILITY_TOWER_LEVEL}				Tower defences
{SMT_CAPABILITY_ARMOUR}					Armour
{SMT_CAPABILITY_STAGE_GAMES}				Stage Games
{SMT_CAPABILITY_STAGE_RACES}				Stage races
{SMT_CAPABILITY_POPULATION_FIRE_RISK_BONUS}	Fire risk modifier
{SMT_CAPABILITY_WEAPON_SIMPLE}			Simple weapons
{SMT_CAPABILITY_WEAPON_MISSILE}			Missile weapons
{SMT_CAPABILITY_WEAPON_BLADED}			Bladed weapons
{SMT_CAPABILITY_WEAPON_SIEGE}				Siege weapons
{SMT_CAPABILITY_WEAPON_OTHER}				Special weapons
{SMT_CAPABILITY_BODYGUARD}				Bodyguard
{SMT_CAPABILITY_RECRUITS_MORALE_BONUS}		Recruit morale modifier
{SMT_CAPABILITY_RECRUITS_EXPERIENCE_BONUS}	Recruit experience modifier
{SMT_CAPABILITY_HAPPINESS_BONUS}			Happiness modifier
{SMT_CAPABILITY_LAW_BONUS}				Law modifier
{SMT_CAPABILITY_CONSTRUCTION_COST_BONUS_MILITARY}	Military construction cost
{SMT_CAPABILITY_CONSTRUCTION_COST_BONUS_RELIGIOUS}	Religious construction cost
{SMT_CAPABILITY_CONSTRUCTION_COST_BONUS_DEFENSIVE}	Defensive construction cost
{SMT_CAPABILITY_CONSTRUCTION_COST_BONUS_OTHER}		Civil construction cost
{SMT_CAPABILITY_CONSTRUCTION_TIME_BONUS_MILITARY}	Military construction time
{SMT_CAPABILITY_CONSTRUCTION_TIME_BONUS_RELIGIOUS}	Religious construction time
{SMT_CAPABILITY_CONSTRUCTION_TIME_BONUS_DEFENSIVE}	Defensive construction time
{SMT_CAPABILITY_CONSTRUCTION_TIME_BONUS_OTHER}		Civil construction time
{SMT_CAPS_LOC_TRAINS_EXPERIENCE}				Experience
{SMT_CAPS_LOC_TRAINS}						Trains
{SMT_CAPS_LOC_TRAINS_BONUS}					Training bonus
{SMT_CAPS_LOC_RECRUITS_LEVEL}				Level
{SMT_CAPS_LOC_RECRUITS}						Recruit
{SMT_CAPS_LOC_RECRUITS_BONUS}					Recruit bonus
{SMT_CAPS_LOC_PROVIDES}						Provides
{SMT_CAPS_LOC_PROVIDES_BONUS}					Provides bonus
{SMT_CAPS_LOC_REQUIRES}						Requires
{SMT_CAPS_LOC_CONDITION_NOT}						Not
{SMT_CAPS_LOC_CONDITION_AND}						and
{SMT_CAPS_LOC_CONDITION_OR}							or
{SMT_CAPS_LOC_CONDITION_BUILDING_PRESENT_MIN_LEVEL}	or above
{SMT_CAPS_LOC_CONDITION_CAPABILITY_VALUE}			or above

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬***** Changes made after 30/03/2004 17:30:00
¬*
¬****************************************************************************************
¬****************************************************************************************


{SMT_MISSION_BUILD_ARMY_TITLE}						Reinforce Region
{SMT_MISSION_BUILD_ARMY_PROPOSAL}					The Senate feels this region is under-manned and therefore vulnerable. They request that you increase your forces here by at least 4 units within 18 months.
{SMT_MISSION_BUILD_ARMY_EXPIRY}						The loss of this region is a blow to Rome. If you had acted more quickly it may not have happened.
{SMT_MISSION_BUILD_ARMY_FAILURE}					The Senate thinks your disregard for their advice is dangerous. If you lose this region due to your negligence there may be consequences.
{SMT_MISSION_BUILD_ARMY_SUCCESS}					The Senate notes that you have taken its advice and reinforced the region. Hopefully that should counter the threat against it.
{SMT_MISSION_ASSIST_FACTION_TITLE}					Reinforce Ally
{SMT_MISSION_ASSIST_FACTION_PROPOSAL}					The Senate asks that you send an army of at least 4 units to this region and transfer control of it to the allied forces there.
{SMT_MISSION_ASSIST_FACTION_EXPIRY}					The loss of this region is a blow to Rome. If you had acted more quickly it may not have happened.
{SMT_MISSION_ASSIST_FACTION_FAILURE}					The Senate thinks your disregard for their advice is dangerous. If we lose this region due to your negligence there may be consequences.
{SMT_MISSION_ASSIST_FACTION_SUCCESS}					The Senate notes that you have taken its advice and reinforced the our allies in the region. Please leave your army under their control for at least 2 years.
{SMT_MISSION_LEAVE_REGION_TITLE}					Leave Region
{SMT_MISSION_LEAVE_REGION_PROPOSAL}					The Senate demands that you remove this army. It is trespassing on the lands of a friend of Rome. If you are just passing through you should obtain an alliance and military access treaty first. If you are planning to attack, you should cancel your plans immediately.
{SMT_MISSION_LEAVE_REGION_EXPIRY}					Your flagrant disregard for Senate policy is disturbing and dangerous. Rome relies on the great families to support its policies. If each family makes their own foreign policy there will be chaos.
{SMT_MISSION_LEAVE_REGION_FAILURE}					The Senate thinks your disregard for their advice is dangerous. It was a small request and your failure to comply may have serious consequences.
{SMT_MISSION_LEAVE_REGION_SUCCESS}					The Senate notes that you have taken its advice and removed the trespassing army. Please remember to obtain a military access treaty before moving forces in to friendly regions.
{SMT_MISSION_EXACT_TRIBUTE_TITLE}					Demand Tribute
{SMT_MISSION_EXACT_TRIBUTE_PROPOSAL}					The senate feels that this faction needs to recognise the superiority of Rome. It requests that you send a diplomat to demand a regular tribute payment. You will be rewarded depending on the size of the tribute you obtain.
{SMT_MISSION_EXACT_TRIBUTE_EXPIRY}					It seems that the Senate's policy of putting these people in their place by demanding tribute has been overtaken by events. The mission is cancelled.
{SMT_MISSION_EXACT_TRIBUTE_FAILURE}					The Senate notes your failure to exact tribute from these people, and regardless of whether it is due to their intransigence or your inaction we hold you responsible for the failure.
{SMT_MISSION_EXACT_TRIBUTE_SUCCESS}					The Senate is pleased to note that you have succeeded in exacting tribute from this faction. Rome's plans to dominate them are proceeding well.
{SMT_MISSION_MAKE_SUBMIT_TITLE}						Obtain Surrender
{SMT_MISSION_MAKE_SUBMIT_PROPOSAL}					The Senate feels that this faction has been weakened enough to make forcing surrender a realistic option. Send a diplomat and demand that they become a Protectorate under Roman control.
{SMT_MISSION_MAKE_SUBMIT_EXPIRY}					The Senate notes that events have overtaken your mission to get this faction to surrender and become a protectorate. The mission is cancelled.
{SMT_MISSION_MAKE_SUBMIT_FAILURE}					The Senate notes that you have failed to obtain surrender. Perhaps combining a diplomatic mission with increased military pressure will obtain the required result next time.
{SMT_MISSION_MAKE_SUBMIT_SUCCESS}					The Senate congratulates you for persuading these people to become a Roman protectorate. It has saved a lot of time and military effort, and the ongoing tribute payments will help build the Empire.
{SMT_MISSION_NEGOTIATE_EAGLE_RETURN_TITLE}				Negotiate return of Eagle
{SMT_MISSION_NEGOTIATE_EAGLE_RETURN_PROPOSAL}				The Senate would like to send a diplomat to negotiate the return of the Legionary Eagle this faction holds. The loss of the Eagle standard is an ongoing source of shame to the Legion that lost it, and there seems to be little chance of getting it back by military means.
{SMT_MISSION_NEGOTIATE_EAGLE_RETURN_EXPIRY}				It seems that events have overtaken the diplomatic mission to regain the lost Eagle. The mission is cancelled.
{SMT_MISSION_NEGOTIATE_EAGLE_RETURN_FAILURE}				The Senate notes that you have failed to negotiate the return of the lost eagle. This failure compounds the shame that the original loss brings upon your house.
{SMT_MISSION_NEGOTIATE_EAGLE_RETURN_SUCCESS}				The Senate notes that you have succeeded in negotiating the return of your lost Eagle. This goes some way towards removing the stain on the reputation of your house from losing it in the first place. Try not to lose another one.
{SMT_MISSION_NEGOTIATE_SETTLEMENT_TITLE}				Negotiate Settlement Handover
{SMT_MISSION_NEGOTIATE_SETTLEMENT_PROPOSAL}				The Senate feels that there is a realistic prospect of persuading the current owners to hand over this settlement by offering them an exchange for one less valuable to us. Send a diplomat and attempt to get them to hand it over.
{SMT_MISSION_NEGOTIATE_SETTLEMENT_EXPIRY}				It seems that your diplomatic mission to get this settlement handed over to us is no longer relevant. The mission is cancelled.
{SMT_MISSION_NEGOTIATE_SETTLEMENT_FAILURE}				The Senate notes that you have failed in your attempt to get this settlement handed over to us. Perhaps military force will succeed where diplomacy has failed.
{SMT_MISSION_NEGOTIATE_SETTLEMENT_SUCCESS}				Congratulations on the successful conclusion of your diplomatic mission. The Senate hopes that the price paid to obtain this settlement was not too high.
{SMT_MISSION_GET_MAP_INFO_TITLE}					Obtain Map Information
{SMT_MISSION_GET_MAP_INFO_PROPOSAL}					The Senate asks that you send a diplomat to this faction and negotiate a treaty to obtain map information to extend Rome's knowledge of the world.
{SMT_MISSION_GET_MAP_INFO_EXPIRY}					This mission has been cancelled because the faction concerned has been eliminated.
{SMT_MISSION_GET_MAP_INFO_FAILURE}					The Senate is not pleased that you failed to complete this mission.
{SMT_MISSION_GET_MAP_INFO_SUCCESS}					The Senate thanks you for successfully obtaining the map information we requested.
{SMT_MISSION_GET_TRADING_RIGHTS_TITLE}					Get Trade Agreement
{SMT_MISSION_GET_TRADING_RIGHTS_PROPOSAL}				The Senate asks that you send a diplomat to this faction and negotiate a treaty to get trading rights for Rome.
{SMT_MISSION_GET_TRADING_RIGHTS_EXPIRY}					This mission has been cancelled because the faction concerned has been eliminated.
{SMT_MISSION_GET_TRADING_RIGHTS_FAILURE}				The Senate is not pleased that you failed to complete this mission.
{SMT_MISSION_GET_TRADING_RIGHTS_SUCCESS}				The Senate thanks you for successfully obtaining the trade agreement we requested.
{SMT_MISSION_APPEASE_FACTION_TITLE}					Appease Faction
{SMT_MISSION_APPEASE_FACTION_PROPOSAL}					The Senate asks that you send a diplomat to this faction and get them to agree not to attack. Offer tribute or anything else that seems reasonable. As a short term measure this is most important.
{SMT_MISSION_APPEASE_FACTION_EXPIRY}					This mission is no longer relevant and has been cancelled.
{SMT_MISSION_APPEASE_FACTION_FAILURE}					The Senate is not pleased that you failed to complete this mission.
{SMT_MISSION_APPEASE_FACTION_SUCCESS}					The Senate thanks you for successfully obtaining the agreement we asked for.
{SMT_MISSION_PROVOKE_ATTACK_TITLE}					Provoke Attack
{SMT_MISSION_PROVOKE_ATTACK_PROPOSAL}					The Senate asks that you send a diplomat to this faction and see if you can provoke them in to making an attack against us. Rome wants to be at war but does not want to appear to be the aggressor.
{SMT_MISSION_PROVOKE_ATTACK_EXPIRY}					This mission is no longer relevant and has been cancelled.
{SMT_MISSION_PROVOKE_ATTACK_FAILURE}					The Senate notes that your efforts to provoke an attack were unsuccessful, but thanks you for any efforts you made.
{SMT_MISSION_PROVOKE_ATTACK_SUCCESS}					The Senate thanks you for successfully getting them to start the war for us.
{SMT_MISSION_PEACE_TALKS_TITLE}						Peace Talks
{SMT_MISSION_PEACE_TALKS_PROPOSAL}					The Senate asks that you send a diplomat to this faction and try to improve relations with this faction. No particular result is expected - just sending the diplomat is enough as a first step.
{SMT_MISSION_PEACE_TALKS_EXPIRY}					This mission is no longer relevant and has been cancelled.
{SMT_MISSION_PEACE_TALKS_FAILURE}					The Senate notes your failure in making diplomatic contact with this faction.
{SMT_MISSION_PEACE_TALKS_SUCCESS}					The Senate thanks you for efforts to improve relations with this faction.
{SMT_MISSION_BLOCKADE_TITLE}						Blockade Port
{SMT_MISSION_BLOCKADE_PROPOSAL}						The Senate asks that you send one of your fleets to blockade this port. This will increase the pressure on this faction by cutting their income.
{SMT_MISSION_BLOCKADE_EXPIRY}						Your mission to blockade this port is no longer relevant and is now cancelled.
{SMT_MISSION_BLOCKADE_FAILURE}						The Senate notes that you have failed to blockade this port as requested. This strengthens the enemy to the detriment of Rome.
{SMT_MISSION_BLOCKADE_SUCCESS}						The Senate notes that the blocked we requested is in now in place. Please leave it there for at least 2 years.
{SMT_MISSION_INCITE_UNREST_TITLE}					Incite Unrest
{SMT_MISSION_INCITE_UNREST_PROPOSAL}					The Senate sees an opportunity to create problems for an enemy of Rome by inciting unrest in this settlement. Send a spy and attempt to incite rebellion.
{SMT_MISSION_INCITE_UNREST_EXPIRY}					Events have overtaken your mission to get this settlement to rebel. The mission is cancelled.
{SMT_MISSION_INCITE_UNREST_FAILURE}					The Senate has been waiting for the planned rebellion in this settlement, and it has not happened. This is seen as a failure on your part.
{SMT_MISSION_INCITE_UNREST_SUCCESS}					The rebellion in this settlement is good news indeed. Your hidden hand in the matter does you credit.
{SMT_MISSION_EXTERMINATE_CITY_TITLE}					Exterminate Settlement
{SMT_MISSION_EXTERMINATE_CITY_PROPOSAL}					The Senate asks you to take this settlement and exterminate the population.
{SMT_MISSION_EXTERMINATE_CITY_EXPIRY}					The Senate no longer requires you to take this settlement.
{SMT_MISSION_EXTERMINATE_CITY_FAILURE}					The Senate is unhappy to note that you have failed to execute this mission.
{SMT_MISSION_EXTERMINATE_CITY_SUCCESS}					The Senate is pleased that this mission has been successfully performed.
{SMT_MISSION_ENSLAVE_CITY_TITLE}					Enslave Settlement
{SMT_MISSION_ENSLAVE_CITY_PROPOSAL}					The Senate asks you to take this settlement and enslave the population.
{SMT_MISSION_ENSLAVE_CITY_EXPIRY}					The Senate no longer requires you to take this settlement.
{SMT_MISSION_ENSLAVE_CITY_FAILURE}					The Senate is unhappy to note that you have failed to execute this mission.
{SMT_MISSION_ENSLAVE_CITY_SUCCESS}					The Senate is pleased that this mission has been successfully performed.
{SMT_STATE_ICON_RESOURCES}						Mining
{SMT_AUTOMANAGE_SETTLEMENT}						Automanage this settlement
{SMT_CANNOT_RECRUIT_WHILST_IN_BATTLE}				It isn't possible to recruit when a battle has been instigated
{SMT_VICTORY_CONDITION_IMPERATOR_TITLE}				Imperator:
{SMT_VICTORY_CONDITION_IMPERATOR_DESCR}				Become the supreme ruler of Rome
{SMT_VICTORY_CONDITION_LAND_OWNER_TITLE}				Domination:
{SMT_VICTORY_CONDITION_LAND_OWNER_DESCR}				Capture %d more regions
{SMT_VICTORY_CONDITION_TYCOON_TITLE}				Tycoon:
{SMT_VICTORY_CONDITION_TYCOON_DESCR}				Build your empire up such that %d denarii is generated per turn
{SMT_VICTORY_CONDITION_TIME_LIMIT_TITLE}				Timed:
{SMT_VICTORY_CONDITION_TIME_LIMIT_DESCR}				Become the most powerful faction in %d turns
{SMT_VICTORY_CONDITION_OUTLIVE_FACTIONS_TITLE}			Survivor:
{SMT_VICTORY_CONDITION_OUTLIVE_FACTIONS_DESCR}			Survive longer than the following factions:
{SMT_CAMPAIGN_VICTORY_CONDITIONS}					Victory Condition
{SMT_CAMPAIGN_VICTORY_CONDITIONS_COMPLETE}			Completed

{SMT_CAPABILITY_POPULATION_GROWTH_BONUS}		Population growth bonus:
{SMT_CAPABILITY_POPULATION_LOYALTY_BONUS}		Public order bonus:
